plate,well,Pd102,Pd104,Pd105,Pd106,Pd108,Pd110,In113,In115
1,B02,1,1,0,0,1,1,0,0
1,B03,1,0,1,0,1,1,0,0
1,B04,1,0,0,1,1,1,0,0
1,B05,0,1,1,0,1,1,0,0
1,B06,0,1,0,1,1,1,0,0
1,B07,0,0,1,1,1,1,0,0
1,B08,1,1,1,0,1,0,0,0
1,B09,1,1,0,1,1,0,0,0
1,B10,1,0,1,1,1,0,0,0
1,B11,0,1,1,1,1,0,0,0
1,C02,1,1,0,0,1,0,1,0
1,C03,1,0,1,0,1,0,1,0
1,C04,1,0,0,1,1,0,1,0
1,C05,0,1,1,0,1,0,1,0
1,C06,0,1,0,1,1,0,1,0
1,C07,0,0,1,1,1,0,1,0
1,C08,1,1,1,0,0,1,0,0
1,C09,1,1,0,1,0,1,0,0
1,C10,1,0,1,1,0,1,0,0
1,C11,0,1,1,1,0,1,0,0
1,D02,1,1,0,0,1,0,0,1
1,D03,1,0,1,0,1,0,0,1
1,D04,1,0,0,1,1,0,0,1
1,D05,0,1,1,0,1,0,0,1
1,D06,0,1,0,1,1,0,0,1
1,D07,0,0,1,1,1,0,0,1
1,D08,1,1,1,0,0,0,1,0
1,D09,1,1,0,1,0,0,1,0
1,D10,1,0,1,1,0,0,1,0
1,D11,0,1,1,1,0,0,1,0
1,E02,1,1,0,0,0,1,1,0
1,E03,1,0,1,0,0,1,1,0
1,E04,1,0,0,1,0,1,1,0
1,E05,0,1,1,0,0,1,1,0
1,E06,0,1,0,1,0,1,1,0
1,E07,0,0,1,1,0,1,1,0
1,E08,1,1,1,0,0,0,0,1
1,E09,1,1,0,1,0,0,0,1
1,E10,1,0,1,1,0,0,0,1
1,E11,0,1,1,1,0,0,0,1
1,F02,1,1,0,0,0,1,0,1
1,F03,1,0,1,0,0,1,0,1
1,F04,1,0,0,1,0,1,0,1
1,F05,0,1,1,0,0,1,0,1
1,F06,0,1,0,1,0,1,0,1
1,F07,0,0,1,1,0,1,0,1
1,F08,1,0,0,0,1,1,1,0
1,F09,1,0,0,0,1,1,0,1
1,F10,1,0,0,0,1,0,1,1
1,F11,1,0,0,0,0,1,1,1
1,G02,1,1,0,0,0,0,1,1
1,G03,1,0,1,0,0,0,1,1
1,G04,1,0,0,1,0,0,1,1
1,G05,0,1,1,0,0,0,1,1
1,G06,0,1,0,1,0,0,1,1
1,G07,0,0,1,1,0,0,1,1
1,G08,0,1,0,0,1,1,1,0
1,G09,0,1,0,0,1,1,0,1
1,G10,0,1,0,0,1,0,1,1
1,G11,0,1,0,0,0,1,1,1
